NO.,NAMA KONTRAKTOR, GRED, NEGERI, DAERAH, NO. TELEFON, NO. FAKS, PPK, SPKK, STB
115,"BMJ ENERGY SERVICE AND TRADING",G1,PERAK,MANJUNG, 0103689689, , Yes, Yes, 
116,"BRUAS JAYA ENTERPRISE",G1,PERAK,MANJUNG, 0125119679, -, Yes, Yes, Yes
117,"BS ALFA",G1,PERAK,MANJUNG, 01-95428365, 0, Yes, Yes, Yes
118,"BUDI AKTIF ENTERPRISE",G1,PERAK,MANJUNG, 01-25720405, , Yes, Yes, Yes
119,"BUDI ANTARA ENTERPRISE",G1,PERAK,MANJUNG, 056833659, 056833659, Yes, Yes, Yes
120,"BUDI LEKIR ENTERPRISE",G1,PERAK,MANJUNG, 05-6884025, 05-6883991, Yes, Yes, Yes
121,"BUDI MANJUNG ENTERPRISE",G1,PERAK,MANJUNG, -, -, Yes, Yes, Yes
122,"BUDI SAUJANA ENTERPRISE",G1,PERAK,MANJUNG, 01-03763451, 0, Yes, Yes, Yes
123,"BUDIKOTA SDN. BHD.",G1,PERAK,MANJUNG, 0125128885, -, Yes, Yes, Yes
124,"BUMI LESTARI ENTERPISE",G1,PERAK,MANJUNG, 01-97446921, , Yes, Yes, Yes
125,"BYG 95 ENTERPRISE",G1,PERAK,MANJUNG, 01124396120, , Yes, Yes, Yes
126,"CAHAYA GEMBILANG ENTERPRISE",G1,PERAK,MANJUNG, 0135813072, -, Yes, Yes, Yes
127,"CAHAYA KOTA ENTERPRISE",G1,PERAK,MANJUNG, 01-11620957, , Yes, Yes, Yes
128,"CAHAYA TIGA C ENTERPRISE",G1,PERAK,MANJUNG, 01-34372021, , Yes, Yes, Yes
129,"CAKRA JAYA ENTERPRISE",G1,PERAK,MANJUNG, 056923775, -, Yes, Yes, Yes
130,"CALTHA EMPIRE",G1,PERAK,MANJUNG, 01-65383836, , Yes, Yes, Yes
131,"CAPITAL S LEGACY",G1,PERAK,MANJUNG, 01-25158670, , Yes, Yes, Yes
132,"CCH CONSTRUCTION & TRADING",G1,PERAK,MANJUNG, 01-69123622, , Yes, , 
133,"CEMARA JUDA ENTERPRISE",G1,PERAK,MANJUNG, 01-25715875, , Yes, Yes, Yes
134,"CEMARA KURNIA SDN. BHD.",G1,PERAK,MANJUNG, 056924201, 056924201, Yes, Yes, Yes
135,"CENTRIX SUPPLY AND SERVICES",G1,PERAK,MANJUNG, 01137859606, , Yes, Yes, Yes
136,"CEPSAM RESOURSES",G1,PERAK,MANJUNG, 0, , Yes, Yes, 
137,"CERIA MURNI ENTERPRISE",G1,PERAK,MANJUNG, 0194080962, -, Yes, Yes, Yes
138,"CHEWAA RESOURCES",G1,PERAK,MANJUNG, 01-24492266, , Yes, Yes, Yes
139,"CHOR PUNTI ENTERPRISE",G1,PERAK,MANJUNG, 0135206829, -, Yes, Yes, Yes
