NO.,NAMA KONTRAKTOR, GRED, NEGERI, DAERAH, NO. TELEFON, NO. FAKS, PPK, SPKK, STB
510,"R&R REDZUAN ENTERPRISE",G1,PERAK,MANJUNG, 01-75715364, , Yes, Yes, Yes
511,"R.A.R CONSTRUCTION & ENGINEERING",G1,PERAK,MANJUNG, 0125166234, -, Yes, Yes, Yes
512,"RA SUCCESS ENTERPRISE",G1,PERAK,MANJUNG, 01-25045540, , Yes, Yes, Yes
513,"RAC TECHNIC",G1,PERAK,MANJUNG, 056882893, 056882893, Yes, Yes, Yes
514,"RADY MAJU ENTERPRISE",G1,PERAK,MANJUNG, 01-35010640, , Yes, Yes, Yes
515,"RAF ENGINEERING SDN. BHD.",G1,PERAK,MANJUNG, 01-82834581, , Yes, Yes, Yes
516,"RAHMAN TEH ENTERPRISE SDN. BHD.",G1,PERAK,MANJUNG, 056853393, 05-6851194, Yes, Yes, Yes
517,"RAKEBA CONSTRUCTION & TRADING",G1,PERAK,MANJUNG, 056887607, 056887607, Yes, Yes, Yes
518,"RAMDAN HARINA ENTERPRISE",G1,PERAK,MANJUNG, 00-0, , Yes, Yes, Yes
519,"RASH IDTIKAD ENTERPRISE",G1,PERAK,MANJUNG, 01-12153067, , Yes, Yes, Yes
520,"RASIHA ENTERPRISE",G1,PERAK,MANJUNG, 0, , Yes, Yes, Yes
521,"REALITI MELA ENTERPRISE",G1,PERAK,MANJUNG, 01-13783185, , Yes, Yes, Yes
522,"REENA QASEH ",G1,PERAK,MANJUNG, 01-75578553, , Yes, Yes, Yes
523,"RERZKEY ENTERPRISE",G1,PERAK,MANJUNG, 01-25122079, , Yes, Yes, Yes
524,"RESTU JAYA RDM ENTERPRISE",G1,PERAK,MANJUNG, 01-49077489, , Yes, Yes, Yes
525,"REZEKI AFIQ AMMAR ENTERPRISE",G1,PERAK,MANJUNG, 01-49443064, , Yes, Yes, Yes
526,"REZEKI AIZ ENTERPRISE",G1,PERAK,MANJUNG, 01-24847149, , Yes, Yes, Yes
527,"REZLAM EMPIRE",G1,PERAK,MANJUNG, 01-13250737, , Yes, Yes, Yes
528,"RIDZA JAYA ENTERPRISE",G1,PERAK,MANJUNG, 0195783727, -, Yes, Yes, Yes
529,"RISHNO ENTERPRISE",G1,PERAK,MANJUNG, 01-94462457, 0, Yes, Yes, Yes
530,"RIZMAR ENTERPRISE",G1,PERAK,MANJUNG, 015230817, -, Yes, Yes, Yes
531,"RIZQI BUDIMAN ",G1,PERAK,MANJUNG, 01-35200301, , Yes, Yes, 
532,"ROFILA ENTERPRISE",G1,PERAK,MANJUNG, 056885981, 056885984, Yes, Yes, Yes
533,"ROSMIQ ENTERPRISE",G1,PERAK,MANJUNG, 0135315131, -, Yes, Yes, Yes
534,"RSC MAJU TRADING",G1,PERAK,MANJUNG, 01-85707721, , Yes, , 
535,"RYSS WANPIECE ENTERPRISE",G1,PERAK,MANJUNG, 01-02313956, , Yes, Yes, Yes
536,"SA TERAS ENTERPRISE",G1,PERAK,MANJUNG, 01-35207983, , Yes, Yes, Yes
537,"SABALIS SUPPLY AND SERVICES",G1,PERAK,MANJUNG, 01-35297919, -, Yes, Yes, Yes
538,"SAFIRADZI 287 RESOURCES",G1,PERAK,MANJUNG, 01-25355350, , Yes, Yes, Yes
539,"SAGA BERSATU TRADING",G1,PERAK,MANJUNG, 01-73255039, , Yes, Yes, Yes
540,"SAHABAT SAMUDERA SDN. BHD.",G1,PERAK,MANJUNG, 01-95506675, , Yes, Yes, Yes
541,"SAKON ENTERPRISE",G1,PERAK,MANJUNG, 01112475883, 0, Yes, Yes, Yes
542,"SAM MUTIARA VENTURE",G1,PERAK,MANJUNG, 01-92436772, 0, Yes, Yes, 
543,"SAMBEL ENTERPRISE",G1,PERAK,MANJUNG, 01-03125120, -, Yes, Yes, Yes
544,"SAMUDERA GLOBAL VENTURES",G1,PERAK,MANJUNG, 01-95520023, , Yes, Yes, Yes
545,"SAMUDRA BINA ENTERPRISE",G1,PERAK,MANJUNG, 056791298, -, Yes, Yes, Yes
546,"SANGAI ENTERPRISE",G1,PERAK,MANJUNG, 01-36622590, 052531855, Yes, Yes, Yes
547,"SANY ENTERPRISE",G1,PERAK,MANJUNG, 01-99163477, , Yes, Yes, Yes
548,"SARIF SABA ENTERPRISE",G1,PERAK,MANJUNG, 0195718419, -, Yes, Yes, Yes
549,"SARJANA AMAN ENTERPRISE",G1,PERAK,MANJUNG, 056885981, 056885984, Yes, Yes, Yes
550,"SATRIA JUANG ENTERPRISE",G1,PERAK,MANJUNG, 05-6792479, 05-6792479, Yes, Yes, Yes
551,"SATU IMPIAN ENTERPRISE",G1,PERAK,MANJUNG, 01169548115, , Yes, Yes, Yes
552,"SAZA TEGUH ENTERPRISE",G1,PERAK,MANJUNG, 0195711443, -, Yes, Yes, Yes
553,"SAZALI YAMAN ENTERPRISE",G1,PERAK,MANJUNG, 056885288, 056885894, Yes, Yes, Yes
554,"SBR ENTERPRISE",G1,PERAK,MANJUNG, 01-35903175, -, Yes, Yes, Yes
555,"SBY PERDANA TEKNIK ENTERPRISE",G1,PERAK,MANJUNG, 605-6881473, 605-6881473, Yes, Yes, Yes
556,"SEATRONIC TRADING",G1,PERAK,MANJUNG, 01-33009307, , Yes, Yes, Yes
557,"SEJAHTERA JAYA ENTERPRISE",G1,PERAK,MANJUNG, 01-95560230, , Yes, Yes, Yes
558,"SEJUTA ILHAM ENTERPRISE",G1,PERAK,MANJUNG, 0, , Yes, Yes, Yes
559,"SELECTION SERVICE & SUPPLY",G1,PERAK,MANJUNG, 01-65316104, , Yes, Yes, Yes
560,"SEMARO ENTERPRISE",G1,PERAK,MANJUNG, 056923843, 056923953, Yes, Yes, Yes
561,"SENTIASA MAJU ENTERPRISE",G1,PERAK,MANJUNG, 01-03078090, , Yes, Yes, Yes
562,"SENTIASADA SDN. BHD.",G1,PERAK,MANJUNG, 01-25075062, , Yes, Yes, Yes
563,"SEPADAN JAYA ENTERPRISE",G1,PERAK,MANJUNG, -, 05-6915346, Yes, Yes, Yes
564,"SERDANG SETIA GLOBAL RESOURCES",G1,PERAK,MANJUNG, 01-38478764, , Yes, , 
565,"SERI AGAR ENTERPRISE",G1,PERAK,MANJUNG, 01-46166285, , Yes, Yes, Yes
566,"SERI CARGAS ENTERPRISE",G1,PERAK,MANJUNG, 05-6721540, -, Yes, Yes, Yes
567,"SERI GUNONG ENTERPRISE",G1,PERAK,MANJUNG, 01-95742805, 056887845, Yes, Yes, Yes
568,"SERI HANI ENTERPRISE",G1,PERAK,MANJUNG, 056312311, 056889657, Yes, Yes, Yes
569,"SERRA EMPIRE ENTERPRISE",G1,PERAK,MANJUNG, 01-94649067, , Yes, Yes, Yes
570,"SERUAN MAJU GLOBAL ENTERPRISE",G1,PERAK,MANJUNG, 01-75710960, , Yes, Yes, Yes
571,"SH PROJECTS ENTERPRISE",G1,PERAK,MANJUNG, 01-13913563, , Yes, Yes, Yes
572,"SHAFA HOLDER ENTERPRISE",G1,PERAK,MANJUNG, 056721912, , Yes, Yes, Yes
573,"SHAFRA ENTERPRISE",G1,PERAK,MANJUNG, 01-35052909, 0, Yes, Yes, Yes
574,"SHAHLAL ENTERPRISE",G1,PERAK,MANJUNG, 01-95098332, , Yes, Yes, Yes
575,"SHAHRIS JAYA",G1,PERAK,MANJUNG, 01-75694321, , Yes, Yes, Yes
576,"SHAHRULLI ENTERPRISE",G1,PERAK,MANJUNG, 01-25551014, -, Yes, Yes, Yes
577,"SHALOM ELECTRICAL AND ELECTRONIC ENGINEERING",G1,PERAK,MANJUNG, 01-85789278, , Yes, , 
578,"SHIRAZ MURNI ENTERPRISE",G1,PERAK,MANJUNG, 01-95164195, 056924777, Yes, Yes, Yes
579,"SINAR WARISAN EMPIRE",G1,PERAK,MANJUNG, -, , Yes, Yes, Yes
580,"SINAR ZATUL ENTERPRISE",G1,PERAK,MANJUNG, 01-95199423, , Yes, Yes, Yes
581,"SIRAWARA ENTERPRISE",G1,PERAK,MANJUNG, 0195491701, -, Yes, Yes, Yes
582,"SITIAWAN VENTURES",G1,PERAK,MANJUNG, 01-95098332, , Yes, Yes, Yes
583,"SIXTY NINE VISION ENTERPRISE",G1,PERAK,, 05-6890450, , Yes, Yes, Yes
584,"SKG MAJU 77 ENTERPRISE",G1,PERAK,MANJUNG, 0, , Yes, Yes, Yes
585,"SKK MAJU TRADING",G1,PERAK,MANJUNG, 0, , Yes, , 
586,"SL GLASS AND ALUMINIUM RENOVATION",G1,PERAK,MANJUNG, 05-6913696, 05-6913696, Yes, , 
587,"SM CONSTRUCTION WORKS",G1,PERAK,MANJUNG, 01-97950593, , Yes, Yes, Yes
588,"SMN SUPPLY AND SERVICES",G1,PERAK,MANJUNG, 0125155719, , Yes, Yes, Yes
589,"SMZ FUTURE LEGACY",G1,PERAK,MANJUNG, 0185759263, , Yes, Yes, Yes
590,"SMZ RESOURCES",G1,PERAK,MANJUNG, 01-12704301, , Yes, Yes, 
591,"SN NOR ENTERPRISE",G1,PERAK,MANJUNG, 056881019, 056885640, Yes, Yes, Yes
592,"SNAB MAJU ENTERPRISE",G1,PERAK,MANJUNG, 01111543661, 0, Yes, Yes, Yes
593,"SNF ENERGY ENTERPRISE",G1,PERAK,MANJUNG, 01-94613256, , Yes, Yes, Yes
594,"SOFINA LEGACY ENTERPRISE",G1,PERAK,MANJUNG, 01-34150510, , Yes, Yes, Yes
595,"SP VIJAY ENTERPRISE",G1,PERAK,MANJUNG, 01-22142335, , Yes, , 
596,"SPARK SOLUTION",G1,PERAK,MANJUNG, 01-11445825, 0, Yes, Yes, Yes
597,"SRI THARA EMPIRE",G1,PERAK,MANJUNG, 01-62637800, , Yes, Yes, Yes
598,"SRL ENTERPRISE",G1,PERAK,MANJUNG, 0125985877, -, Yes, Yes, Yes
599,"SS LEKIR ENTERPRISE",G1,PERAK,MANJUNG, 01111196588, -, Yes, Yes, Yes
600,"SS NUR QASEH ENTERPRISE",G1,PERAK,MANJUNG, 01-34005876, , Yes, Yes, Yes
601,"SS ZAFRAN ENTERPRISE",G1,PERAK,MANJUNG, 0182395887, , Yes, Yes, Yes
602,"STONE KOOL ENTERPRISE",G1,PERAK,MANJUNG, 01-35965048, , Yes, Yes, Yes
603,"STP LEGACY",G1,PERAK,MANJUNG, 01-34333635, , Yes, , 
604,"SUASA SERVICES ENTERPRISE",G1,PERAK,MANJUNG, 01-33021550, , Yes, Yes, 
605,"SUFI TEGUH ENTERPRISE",G1,PERAK,MANJUNG, 0195417926, , Yes, Yes, Yes
606,"SUNGAI BATU IRONWORKS",G1,PERAK,MANJUNG, 01-75005207, -, Yes, Yes, Yes
607,"SUNGAI CHE RAHMAT ENTERPRISE",G1,PERAK,MANJUNG, 0134383078, -, Yes, Yes, Yes
608,"SUPERSAYA GLOBAL",G1,PERAK,MANJUNG, 01-12694220, , Yes, Yes, Yes
609,"SUZ BINA ENTERPRISE",G1,PERAK,MANJUNG, 01-95762875, 056882379, Yes, Yes, Yes
610,"SYAFIQAZIZI EMPIRE",G1,PERAK,MANJUNG, 01-11225653, , Yes, Yes, Yes
611,"SYAIDA IDAMAN ENTERPRISE",G1,PERAK,MANJUNG, 01-49422810, 0, Yes, Yes, Yes
612,"SYAQ Z VENTURE",G1,PERAK,MANJUNG, 0184624615, , Yes, Yes, Yes
613,"SYARIKAT ARNIZA",G1,PERAK,MANJUNG, 05-6912014, 05-6926494, Yes, Yes, Yes
614,"SYARIKAT BINA ANGKUT",G1,PERAK,MANJUNG, 01-05696285, -, Yes, Yes, Yes
615,"SYARIKAT MAJU SURIA",G1,PERAK,MANJUNG, 01-94606123, , Yes, Yes, Yes
616,"SYARIKAT MANSOR",G1,PERAK,MANJUNG, 05-6791307, -, Yes, Yes, Yes
617,"SYARIKAT SERDANG SETIA",G1,PERAK,MANJUNG, 0133241872, -, Yes, Yes, Yes
618,"SYSTEM SIX ENTERPRISE",G1,PERAK,, 01-24086963, , Yes, Yes, 
619,"SZ AMMAR EMPIRE",G1,PERAK,MANJUNG, 01-12429957, , Yes, Yes, Yes
620,"SZL BOOLART ENTERPRISE",G1,PERAK,MANJUNG, 01-76625616, -, Yes, Yes, Yes
621,"TAMJID SUPPORT AND SERVICES",G1,PERAK,MANJUNG, 01-93580794, , Yes, Yes, Yes
622,"TANJUNG PEREPAT ENTERPRISE",G1,PERAK,MANJUNG, 012-5404159, 05-6889850, Yes, Yes, Yes
623,"TANJUNG RAYA ENTERPRISE",G1,PERAK,MANJUNG, 05-6728331, 05-6915569, Yes, Yes, Yes
624,"TAZMAN ENTERPRISE",G1,PERAK,MANJUNG, 01-11253314, , Yes, Yes, Yes
625,"TEGUH BERDIKARI ENTERPRISE",G1,PERAK,MANJUNG, 01-13250737, , Yes, Yes, Yes
626,"TEGUH SAMUDERA ENTERPRISE",G1,PERAK,MANJUNG, 01-95098332, , Yes, Yes, Yes
627,"TEGUH TENAGA ENTERPRISE",G1,PERAK,MANJUNG, 01-43269423, , Yes, Yes, Yes
628,"TEKNOKRAT MAKMUR ENTERPRISE",G1,PERAK,MANJUNG, 056881724, -, Yes, Yes, Yes
629,"TELOK MUROH ENTERPRISE",G1,PERAK,MANJUNG, 056833054, -, Yes, Yes, Yes
630,"TELUK BERKAT ENTERPRISE",G1,PERAK,MANJUNG, 01-75182025, , Yes, Yes, Yes
631,"TELUK GEDUNG ENTERPRISE",G1,PERAK,MANJUNG, , , Yes, Yes, Yes
632,"TEMASEK DAMAI ENTERPRISE",G1,PERAK,MANJUNG, 056888169, 056888169, Yes, Yes, Yes
633,"TERAS SEKATA ENTERPRISE",G1,PERAK,MANJUNG, 01-95160564, , Yes, Yes, Yes
634,"TERSOHOR TUNJANG ENTERPRISE",G1,PERAK,MANJUNG, 0195593500, -, Yes, Yes, Yes
635,"TERUS PRODUKTIF ENTERPRISE",G1,PERAK,MANJUNG, 019-5778889, , Yes, Yes, Yes
636,"THANCDS ENTERPRISE",G1,PERAK,MANJUNG, 0, , Yes, , 
637,"THE CALICO ENTERPRISE",G1,PERAK,MANJUNG, 01-11649754, , Yes, Yes, Yes
638,"THE FAIRUS FUTURE INDUSTRIAL",G1,PERAK,MANJUNG, 01-89563552, , Yes, Yes, Yes
639,"THREE BBB ENTERPRISE",G1,PERAK,MANJUNG, 056889424, 056889425, Yes, Yes, Yes
640,"TIANG SRI EMAS ENTERPRISE",G1,PERAK,MANJUNG, 01-12401425, -, Yes, Yes, Yes
641,"TIMI ENTERPRISE",G1,PERAK,MANJUNG, 01-11097018, -, Yes, Yes, Yes
642,"TIONG AND YEK ENTERPRISE",G1,PERAK,MANJUNG, 0165551056, -, Yes, , 
643,"TIRAM LAGENDA EMPIRE",G1,PERAK,MANJUNG, 01-75227612, , Yes, Yes, Yes
644,"TR TELUS NIAGA ENTERPRISE",G1,PERAK,MANJUNG, 01-35734548, , Yes, Yes, Yes
645,"TRANZ ASM ENTERPRISE",G1,PERAK,MANJUNG, 01111187436, , Yes, Yes, Yes
646,"TUAH GIBRAN EMPIRE",G1,PERAK,MANJUNG, 0, , Yes, Yes, Yes
647,"TUAH SAKTI GLOBAL",G1,PERAK,MANJUNG, 01-83242838, , Yes, , 
648,"TUNAS SAMUDERA RESOURCES",G1,PERAK,MANJUNG, 0175580520, , Yes, Yes, Yes
649,"TWINS ENTERPRISE",G1,PERAK,MANJUNG, 01-42527479, -, Yes, Yes, Yes
650,"TY JAYA ENTERPRISE",G1,PERAK,MANJUNG, 01-43372708, , Yes, Yes, Yes
651,"ULTRA PRO TECH",G1,PERAK,MANJUNG, 01-66653440, , Yes, Yes, Yes
652,"UMBUT GLOBAL ENTERPRISE",G1,PERAK,MANJUNG, 11-23096396, , Yes, Yes, Yes
653,"USAHA A N S ENTERPRISE",G1,PERAK,MANJUNG, 0195907981, -, Yes, Yes, Yes
654,"USAHA BERKAT RESOURCES",G1,PERAK,MANJUNG, 01-33202468, , Yes, Yes, 
655,"USTB SERVICES",G1,PERAK,MANJUNG, 01-84071292, 0, Yes, Yes, Yes
656,"V FAST SOLUTION",G1,PERAK,MANJUNG, 01-95509899, , Yes, Yes, Yes
657,"VISTA IMPIAN RESOURCES",G1,PERAK,MANJUNG, 01-63359510, , Yes, Yes, Yes
658,"WAN ZAMOZA",G1,PERAK,MANJUNG, 0125066770, -, Yes, Yes, Yes
659,"WANS EXCLUSIVE",G1,PERAK,MANJUNG, 0125026661, , Yes, Yes, Yes
660,"WARISAN JASA ENTERPRISE",G1,PERAK,MANJUNG, 056721540, 056721540, Yes, Yes, Yes
661,"WARISAN SERTING ENTERPRISE",G1,PERAK,MANJUNG, 01-25066305, -, Yes, Yes, Yes
662,"WARKAH PERMATA EMPIRE",G1,PERAK,MANJUNG, 01-42413095, , Yes, Yes, Yes
663,"WAWASAN GIAT ENTERPRISE",G1,PERAK,MANJUNG, 01-94776455, 0, Yes, Yes, Yes
664,"WAWASAN USAHASAMA ENTERPRISE",G1,PERAK,MANJUNG, 01-35838687, , Yes, Yes, Yes
665,"WAZY IFTIKHAR ENTERPRISE",G1,PERAK,MANJUNG, 01-12533145, , Yes, Yes, Yes
666,"WDA GLOBAL",G1,PERAK,MANJUNG, 01111479745, , Yes, Yes, Yes
667,"WESTWOOD BAY RESOURCES",G1,PERAK,MANJUNG, 01-42426291, , Yes, Yes, Yes
668,"WIN CHAMPION ENTERPRISE",G1,PERAK,MANJUNG, 01-74727874, 01-74727874, Yes, Yes, Yes
669,"WINNER CONSTRUCTION ENTERPRISE",G1,PERAK,MANJUNG, 01-82454784, -, Yes, Yes, Yes
670,"WIRA VETERAN ENTERPRISE",G1,PERAK,MANJUNG, 0195590434, -, Yes, Yes, Yes
671,"WJ UIM ENTERPRISE",G1,PERAK,MANJUNG, 01-74061045, , Yes, Yes, Yes
672,"WMS BWAN RESOURCES",G1,PERAK,MANJUNG, 01-95589286, , Yes, Yes, Yes
673,"WNH LYKA ENTERPRISE",G1,PERAK,MANJUNG, 0163406376, , Yes, Yes, Yes
674,"XAMID ENTERPRISE",G1,PERAK,MANJUNG, 01-64222771, -, Yes, Yes, Yes
675,"YA MANJUNG ENTERPRISE",G1,PERAK,MANJUNG, 05-6886658, 05-6886658, Yes, Yes, Yes
676,"YANA & KELUARGA ENTERPRISE",G1,PERAK,MANJUNG, 01-22374283, , Yes, Yes, Yes
677,"YANZHD ENTERPRISE",G1,PERAK,MANJUNG, 01-95421181, , Yes, Yes, Yes
678,"YANZIE ENTERPRISE",G1,PERAK,MANJUNG, 056888129, 056888129, Yes, Yes, Yes
679,"YANZSON ENTERPRISE",G1,PERAK,MANJUNG, 01-95421181, , Yes, Yes, Yes
680,"YAQIN WORLD ENTERPRISE",G1,PERAK,MANJUNG, 01-89777867, 0, Yes, Yes, Yes
681,"YAQQIN ENTERPRISE",G1,PERAK,MANJUNG, 01-96187484, -, Yes, Yes, Yes
682,"YPVS ENTERPRISE",G1,PERAK,MANJUNG, 056928020, 056928020, Yes, Yes, Yes
683,"YUAN SIN PLUMBING & RENOVATION",G1,PERAK,MANJUNG, 05-6923664, 05-6923664, Yes, , 
684,"YUEN TUNG LOGISTIC SDN. BHD.",G1,PERAK,MANJUNG, 01-75979560, , Yes, , 
685,"Z & R BINA",G1,PERAK,MANJUNG, 0134455096, -, Yes, Yes, Yes
686,"ZADDRIZZ ENTERPRISE",G1,PERAK,MANJUNG, 01-65559730, , Yes, Yes, Yes
687,"ZAF MAJU GLOBAL SDN. BHD.",G1,PERAK,MANJUNG, 01-46761686, , Yes, Yes, 
688,"ZAFRAN MARINE GLOBAL",G1,PERAK,MANJUNG, 01-95722562, , Yes, Yes, Yes
689,"ZAHRIFF ENTERPRISE",G1,PERAK,MANJUNG, 056871440, , Yes, Yes, Yes
690,"ZAI BAHARI ENTERPRISE",G1,PERAK,MANJUNG, 01121538825, , Yes, Yes, Yes
691,"ZAID YAKIN ENTERPRISE",G1,PERAK,MANJUNG, 0195065680, -, Yes, Yes, Yes
692,"ZALI MAJU RESOURCES",G1,PERAK,MANJUNG, 01-95676486, , Yes, Yes, Yes
693,"ZALIDA TECH ENTERPRISE",G1,PERAK,MANJUNG, 01-65670220, , Yes, Yes, Yes
694,"ZAMANHURI ENTERPRISE",G1,PERAK,MANJUNG, 0165234887, , Yes, Yes, Yes
695,"ZAMISHA ENTERPRISE",G1,PERAK,MANJUNG, 05-6884546, 05-6871441, Yes, Yes, Yes
696,"ZAQ SUTERA ENTERPRISE",G1,PERAK,MANJUNG, 01-65575175, -, Yes, Yes, Yes
697,"ZAT GEMILANG ENTERPRISE",G1,PERAK,MANJUNG, 056886304, 056890415, Yes, Yes, Yes
698,"ZAZAFI ENTERPRISE",G1,PERAK,MANJUNG, 01-26643445, -, Yes, Yes, Yes
699,"ZAZAJUE MUTIARA ENTERPRISE",G1,PERAK,MANJUNG, 01-15509515, , Yes, Yes, Yes
700,"ZAZDIN ENTERPRISE",G1,PERAK,MANJUNG, 056721280, 056721280, Yes, Yes, Yes
701,"ZEKHAL GLOBAL ENTERPRISE",G1,PERAK,MANJUNG, 01-37692339, , Yes, Yes, Yes
702,"ZETA CUBE RESOURCES",G1,PERAK,MANJUNG, 01-93595400, , Yes, Yes, Yes
703,"ZF ADVANCED ENTERPRISE",G1,PERAK,MANJUNG, 01-47580166, , Yes, , 
704,"ZF OREN RESOURCES",G1,PERAK,MANJUNG, 01-36149477, 0, Yes, Yes, Yes
705,"ZIKAFRI ENTERPRISE",G1,PERAK,MANJUNG, 01-13238012, , Yes, Yes, Yes
706,"ZIMA MAJU JAYA ENTERPRISE",G1,PERAK,MANJUNG, -, -, Yes, Yes, Yes
707,"ZM STRATEGIC RESOURCES",G1,PERAK,MANJUNG, 01-99952171, , Yes, Yes, Yes
708,"ZNL JAYA ENTERPRISE",G1,PERAK,MANJUNG, 01-95762875, , Yes, Yes, Yes
709,"ZNZ BERKAT ENTERPRISE",G1,PERAK,MANJUNG, 01-29078687, , Yes, Yes, Yes
710,"ZR DIAMOND RESOURCES",G1,PERAK,MANJUNG, 01-95790548, , Yes, Yes, Yes
711,"ZR INFINITY ENTERPRISE",G1,PERAK,MANJUNG, 01-12170893, , Yes, Yes, Yes
712,"ZUL JAYA MAJU ENTERPRISE",G1,PERAK,MANJUNG, 01-11186358, , Yes, Yes, Yes
713,"ZULFAIZ GLOBAL ENTERPRISE",G1,PERAK,MANJUNG, 0194738211, , Yes, Yes, Yes
714,"ZULFIKRI MAJU ENTERPRISE",G1,PERAK,MANJUNG, 01-62549903, , Yes, Yes, Yes
715,"ZULIA EMPIRE ENTERPRISE",G1,PERAK,MANJUNG, 01-34293794, , Yes, Yes, Yes
716,"ZULIENA ENTERPRISE",G1,PERAK,MANJUNG, 01-95913131, , Yes, Yes, Yes
717,"ZULRAIS ENTERPRISE",G1,PERAK,MANJUNG, 01-35311760, -, Yes, Yes, Yes
718,"ZY MANFORCE RESOURCES",G1,PERAK,MANJUNG, 0, 0, Yes, Yes, Yes
