NO.,NAMA KONTRAKTOR, GRED, NEGERI, DAERAH, NO. TELEFON, NO. FAKS, PPK, SPKK, STB
77,CONFORD CONSTRUCTION,G1,PERAK,MANJUNG, 01-94002993, -, Yes, Yes, Yes
78,CTAH ENTERPRISE,G1,PERAK,MANJUNG,125654309,0, Yes, Yes, Yes
79,D ARA ENTERPRISE,G1,PERAK,MANJUNG, 01-97445897, -, Yes, Yes, Yes
80,DANISH ONE ENTERPRISE,G1,PERAK,MANJUNG, 01-16199502, , Yes, Yes, Yes
81,DHUHAA ISMA ENTERPRISE,G1,PERAK,MANJUNG, 01-95704293, , Yes, Yes, Yes
82,DOLLYCA LEGACY,G1,PERAK,MANJUNG, 01-25282478, , Yes, Yes, Yes
83,DY CORNER,G1,PERAK,MANJUNG, 01-12804933, , Yes, Yes, Yes
84,DZUL ENTERPRISE,G1,PERAK,MANJUNG, 01-25703150, , Yes, Yes, Yes
85,EKIN LEGACY,G1,PERAK,MANJUNG, 01-95590485, , Yes, Yes, Yes
86,EKRAL MEGA ENTERPRISE,G1,PERAK,MANJUNG, 019-5129224, 05-6887922, Yes, Yes, Yes
87,EMPAYAR XAMIDS,G1,PERAK,MANJUNG, 01-65108317, , Yes, Yes, Yes
88,EMRON ENTERPRISE,G1,PERAK,MANJUNG, 01-95708851, -, Yes, Yes, Yes
89,ENTERIC DEFENCE,G1,PERAK,MANJUNG, 01-65559730, , Yes, Yes, Yes
90,ESAY FAST ENTERPRISE,G1,PERAK,MANJUNG, 01-25072556,0, Yes, Yes, Yes
91,ESYAF RESOURCES,G1,PERAK,MANJUNG, 01-24603032, , Yes, Yes, Yes
92,ETOSA ENTERPRISE,G1,PERAK,MANJUNG,56885981,56885984, Yes, Yes, Yes
93,EX SERVICE AND SUPPLY,G1,PERAK,MANJUNG, 01-11193637, , Yes, Yes, Yes
94,EXTRIME MEGA RESOURCES,G1,PERAK,MANJUNG, 01-34783845, , Yes, Yes, Yes
95,FA & ZA ENTERPRISE,G1,PERAK,MANJUNG, 01-94660943, , Yes, Yes, Yes
96,FALISYAS LILY ENTERPRISE,G1,PERAK,MANJUNG, 01-25060607, , Yes, Yes, Yes
97,FALLAH ENTERPRISE,G1,PERAK,MANJUNG,56774269, -, Yes, Yes, Yes
98,FAMIRA GEMILANG ENTERPRISE,G1,PERAK,MANJUNG,195749085, -, Yes, Yes, Yes
99,FANTASTIC TREND SDN. BHD.,G1,PERAK,MANJUNG, 1-121509434, -, Yes, Yes, Yes
100,FAZ ARENA VENTURE,G1,PERAK,MANJUNG, 01-25220510, , Yes, Yes, Yes
101,FIRAH FARID ENTERPRISE,G1,PERAK,MANJUNG, 01-11272409, , Yes, Yes, Yes
102,FIRST GLOBAL VENTURE SDN. BHD.,G1,PERAK,MANJUNG, 05-6870622, , Yes, Yes, Yes
103,FLYRNZ SUPPLY & SERVICES,G1,PERAK,MANJUNG, 01-95790548, , Yes, Yes, Yes
104,FY BINA ENTERPRISE,G1,PERAK,MANJUNG, 01-94460943, , Yes, Yes, Yes
105,GBA ENTERPRISE,G1,PERAK,MANJUNG, 01-95098332, , Yes, Yes, Yes
106,GEMILANG MAS,G1,PERAK,MANJUNG, 01-75108192, , Yes, Yes, Yes
107,GERBANG RESTU ENTERPRISE,G1,PERAK,MANJUNG,195263430, -, Yes, Yes, Yes
108,GESING ENTERPRISE,G1,PERAK,MANJUNG,56884461,56884461, Yes, Yes, Yes
109,GREEN SPACE ENTERPRISE,G1,PERAK,MANJUNG, 01-42426291, , Yes, Yes, Yes
110,GUGUSAN BINA ENTERPRISE,G1,PERAK,MANJUNG,56888970, -, Yes, Yes, Yes
111,HA DYNAMIC (M) SDN. BHD.,G1,PERAK,MANJUNG, 01-24680449, , Yes, Yes, Yes
112,HAFQA ENTERPRISE,G1,PERAK,MANJUNG, 01-11137504, , Yes, Yes, Yes
113,HAJR TEKNIK,G1,PERAK,MANJUNG,56887875, -, Yes, Yes, Yes
114,HALIM LC RESOURCES,G1,PERAK,MANJUNG,1113375967, , Yes, Yes, Yes
115,HALIM YAHYA ENTERPRISE,G1,PERAK,MANJUNG,56882164,56888970, Yes, Yes, Yes
116,HANIF ENTERPRISE,G1,PERAK,MANJUNG, 05-6888169, -, Yes, Yes, Yes
117,HANNAN AKTIF ENTERPRISE,G1,PERAK,MANJUNG, 01-25693532, , Yes, Yes, Yes
118,HAQEM CIPTA ENTERPRISE,G1,PERAK,MANJUNG, 01-61527983, , Yes, Yes, Yes
119,HARAQ SEPADU ENTERPRISE,G1,PERAK,MANJUNG, 05-6721540, -, Yes, Yes, Yes
120,HASIL TEKAD RESOURCES,G1,PERAK,MANJUNG,125762768,125762768, Yes, Yes, Yes
